Consumer_Defensive       OTLY           : 1636.00%  燕麦奶, 奶制品, 植物奶, 瑞典
Real_Estate              EXR            :   0.01%  自助存储, 仓储租赁, 公共仓库, 房地产
Financial_Services       MSCI.+         :   0.01%  指数提供商, 全球指数, 新兴市场指数, 指数
Consumer_Defensive       POST           :   0.01%  早餐谷物, 冷冻食品, 食品, 蛋白质棒, 乳制品
Basic_Materials          AU.21          :   0.00%  南非, 黄金开采, 黄金, 贵金属
Basic_Materials          GGB.19.*       :   0.00%  巴西, 钢铁
Basic_Materials          ALTM.*         :   0.00%  锂卤水, 锂矿, 锂, 阿根廷, 澳大利亚
Communication_Services   TEF            :   0.00%  西班牙, 拉丁美洲, 电信运营商
Communication_Services   TME.*          :   0.00%  腾讯音乐, 酷我, 酷狗, 音乐, 中国
Consumer_Cyclical        BALL           :   0.00%  金属包装, 铝制饮料罐, 包装
Consumer_Defensive       TAL.*          :   0.00%  好未来, 学而思, 教育, 培训, 中国, 在线教育
Technology               NOK.*          :   0.00%  芬兰, 通信, 5G, 诺基亚, 通讯, 电信设备
Technology               DOCU           :   0.00%  电子签名, 数字交易
Technology               SPSC           :   0.00%  云计算, 供应链管理, SPS Commerce平台, 赋能B2B
Utilities                CIG            :   0.00%  巴西, 电力, 能源, 公共事业
Industrials              WMS            :  -0.01%  塑料水管, 排水产品, 水管理
Technology               NICE.20.-      :  -0.02%  以色列, 云计算, 企业平台, 金融犯罪, AI
Technology               BOX.-          :  -0.03%  云存储, 企业软件, SaaS, 云服务, 智能内容管理
Industrials              PNR.--         :  -0.03%  水处理, 泳池, 水疗, 水
Real_Estate              VICI.20.-      :  -0.03%  三重净租赁房地产投资信托, 赌场, 娱乐物业, 凯撒宫
Consumer_Cyclical        BBY            :  -0.03%  百思买, 电子产品, 零售, 消费品, 连锁, 商店, 美国
Utilities                ES.-           :  -0.05%  电力, 天然气, 公共事业
Real_Estate              DOC.-          :  -0.05%  医疗保健房地产投资信托
Technology               AAPL.*         :  -0.05%  苹果, iPad平板, iPhone手机, Mac电脑, 智能手机, Vision Pro, 手机, 电脑
Financial_Services       RLI.-          :  -0.05%  保险, 财产和意外伤害保险
Technology               HCP            :  -0.06%  云计算
Financial_Services       RDN            :  -0.06%  抵押贷款保险, 保险
Industrials              VRSK.-         :  -0.06%  数据分析, 赋能保险和能源行业, 预测灾害天气
Healthcare               ARGX.-         :  -0.06%  荷兰, 比利时, 自身免疫疾病, 慢性炎性脱髓鞘性多发性神经病
Industrials              SWK            :  -0.07%  史丹利, 五金, 工具, 安防, 门类
Industrials              TRI.-          :  -0.07%  汤森路透, 法律, 税务, 数据信息解决方案
Healthcare               LH             :  -0.08%  临床实验室, 诊断测试
Industrials              BWXT.--        :  -0.08%  核潜艇动力系统, 核电站, 核废物管理, 核能
Financial_Services       WBS            :  -0.08%  金融服务, 银行业务, 储蓄账户, 财富管理
Financial_Services       CADE.-         :  -0.09%  金融, 银行, 美国
Industrials              MTZ.--         :  -0.09%  基础设施, 为通信电力石油行业赋能
Financial_Services       ACT            :  -0.09%  商业与住宅私人抵押贷款保险, 抵押贷款保险
Industrials              VLTO.--        :  -0.09%  水质分析, 水, 水处理, 提供安全饮用水
Consumer_Cyclical        TM             :  -0.09%  丰田, 汽车, 世界第一, 日本, 油电混合
Industrials              KNX.-          :  -0.09%  货运, 物流, 卡车运输
Financial_Services       DNB.20.*.-     :  -0.09%  邓白氏, 商业信息供应商, 商业数据与分析, 业务决策
Industrials              TT             :  -0.10%  暖通空调, 冷链运输, 数据中心, AI
Utilities                XEL            :  -0.10%  电力, 天然气, 能源
Technology               ANSS.19.-      :  -0.10%  工程仿真软件, 工业软件, 仿真软件
Industrials              APG            :  -0.11%  防火安全, 施工维护
Consumer_Cyclical        GME.*          :  -0.11%  Meme, 模因, Roaring Kitty
Technology               ACN.-          :  -0.11%  埃森哲, 管理咨询, 外包服务, 爱尔兰, 欧洲
Industrials              FDX            :  -0.12%  联邦快递, 物流, 运输, 托运, 快递, 赋能电子商务
Financial_Services       ICE.-          :  -0.13%  洲际交易所, 纽约证券交易所, 大宗商品期权期货
Real_Estate              PSA.-          :  -0.13%  自助存储, 仓储租赁, 公共仓库
Energy                   NE.17.--       :  -0.14%  石油, 海上和陆地钻井服务, 天然气
Energy                   FANG           :  -0.15%  石油, 天然气, 勘探, 生产
Healthcare               IQV.--         :  -0.15%  医疗领域临床研究服务提供商
Real_Estate              AVB.-          :  -0.16%  房地产, 公寓社区开发收购管理
Healthcare               GKOS.20        :  -0.16%  眼科医疗, 微创青光眼手术, iStent, 眼科, 手术
Consumer_Cyclical        EBAY           :  -0.16%  电子商务
Energy                   YPF            :  -0.16%  阿根廷, 石油, 天然气
Technology               TTD.*.--       :  -0.16%  广告购买, 广告投放, 广告, 广告营销, 在线广告, RTB, 人工智能, AI
Basic_Materials          BCC.20         :  -0.16%  木材, 建筑材料, 美国
Technology               CIEN           :  -0.17%  光纤传输, 网络自动化, AI, 数据中心, 云计算
Consumer_Cyclical        PKG            :  -0.17%  瓦楞纸板, 包装, 纸, 美国
Energy                   FRO            :  -0.17%  原油海运, 油轮, 海运, 船队, 航运, 跟油价强相关
Industrials              BCO.-          :  -0.17%  现金, 贵重物品, 运输, 物流, 安全解决方案
Real_Estate              STAG.-         :  -0.17%  工业房地产投资信托, 仓库, 物流设施, 二三线市场
Financial_Services       ESNT.-         :  -0.18%  私人住房抵押贷款保险和再保险, 抵押贷款保险, 保险, 再保险
Consumer_Cyclical        APTV           :  -0.18%  汽车零部件, 自动驾驶, 电气架构, 车载软件
Technology               PTC            :  -0.18%  产品生命周期管理PLM, 辅助设计, 工业设计, CAD, 计算机设计
Real_Estate              EQIX           :  -0.18%  数据中心, 云计算, 互联托管
Communication_Services   SKM            :  -0.18%  韩国, 电信, 移动通信, 宽带互联网
Technology               ROP            :  -0.18%  医学科学成像, 射频技术, 工业控制
Real_Estate              ELS.-          :  -0.18%  房地产信托, 度假社区开发经营
Communication_Services   TIMB           :  -0.20%  巴西, 第三大电信, 电信运营商
Technology               PATH.*.-       :  -0.20%  机器人, 自动化, AI
Consumer_Cyclical        SN.-           :  -0.21%  小家电, 吸尘器, 扫地机器人, 搅拌机, 榨汁机, 空气炸锅, 美国
Basic_Materials          SSL.--         :  -0.22%  南非, 萨索尔, 煤炭, 天然气, 柴油, 汽油, 燃料, 乙烯, 丙烯, 化学品, 化工
Industrials              CAE            :  -0.22%  模拟建模, 民航, 国防, 医疗仿真, 仿真, 美国飞行员培训
Consumer_Defensive       BUD            :  -0.23%  百威英博, 啤酒, 科罗娜, 哈尔滨
Industrials              POOL.20        :  -0.23%  游泳池, 水疗设备, 泳池产品
Industrials              TTEK.--        :  -0.23%  德照科技, 工程咨询, 工程设计, 技术服务, 水资源, 环境工程, 环保
Industrials              CTAS.-         :  -0.24%  信达思, 制服租赁, 制服清洁, 企业安全, 企业清洁外包, 美国
Communication_Services   VOD.*.--       :  -0.24%  英国, 沃达丰, 电信运营商
Financial_Services       AFG.--         :  -0.24%  保险, 年金
Energy                   MUR            :  -0.25%  石油, 天然气, 勘探, 开发, 页岩气
Consumer_Defensive       WMT.20.*.-     :  -0.25%  沃尔玛, 零售, 山姆会员, 连锁超市, 超市
Financial_Services       HWC.-          :  -0.25%  区域性银行, 金融服务, 银行, 美国
Energy                   AR.-           :  -0.25%  页岩气, 天然气, 水力压裂, 石油, 美国
Technology               GIB.-          :  -0.26%  加拿大, 信息技术IT, 业务咨询
Financial_Services       CINF.-         :  -0.26%  财产保险, 意外伤害保险, 寿险, 保险
Technology               TYL.-          :  -0.27%  为公共部门提供软件和技术服务, 公共事业, 软件服务
Technology               FICO.-         :  -0.28%  信用评分, 数据分析
Real_Estate              JLL.19         :  -0.28%  房地产, 租赁, 房地产管理
Consumer_Cyclical        CVNA.19        :  -0.28%  在线二手车, 二手车, 美国
Industrials              STN.-          :  -0.28%  加拿大, 斯坦泰克, 建筑设计, 工程服务, 项目管理
Technology               STM.*          :  -0.29%  意法半导体, 芯片, 传统半导体, 欧洲
Technology               DDOG.*.--      :  -0.29%  云监控, 云基础设施, 性能监控, 日志管理
Healthcare               RDY.-          :  -0.29%  印度, 仿制药
Technology               IT.-           :  -0.30%  研究与咨询服务, 评测分析
Real_Estate              FRT.-          :  -0.30%  房地产, 投资信托, 沿海地区, 零售物业, 美国
Energy                   SOBO.-         :  -0.32%  能源, 基础设施, 管道运输
Energy                   UGP            :  -0.33%  石油, 巴西, 化工
Healthcare               ABT.*.-        :  -0.33%  雅培, 医疗保健, 连续血糖监测仪, FreestyleLibre, 美国
Consumer_Cyclical        MOD.--         :  -0.35%  摩丁制造, 数据中心, 数据中心冷却, AI
Utilities                EXC.*.-        :  -0.35%  电力, 核电, 发电, 美国
Industrials              RELX.-         :  -0.35%  科学医学法律商业, 信息分析决策工具, 数据分析
Industrials              ULS.20.-       :  -0.35%  测试, 检验, 认证, TIC服务, 软件咨询
Financial_Services       LNC.-          :  -0.36%  寿险, 保险, 退休规划, 资产管理
Technology               GEN.-          :  -0.36%  长期护理, 短期康复, 临终关怀, 护理
Healthcare               BLCO.19.-      :  -0.37%  博士伦, 隐形眼镜, 眼药水, 眼科手术器械
Financial_Services       BNS            :  -0.39%  加拿大, 丰业银行
Healthcare               CVS.*.-        :  -0.39%  西维斯健康, 药品, 零售药店, 处方药, 医疗保险, 安泰保险Aetna
Technology               LOGI           :  -0.40%  罗技, 计算机外设, 游戏设备, 鼠标
Industrials              KTOS.--        :  -0.41%  国防, 航空航天, 政府服务, 无人机, 卫星通信, 美国
Financial_Services       BAP            :  -0.41%  秘鲁, 第一大, 金融, 银行, 证券, 投资
Consumer_Cyclical        TJX.*.-        :  -0.41%  Marshalls, 折扣, 零售, 低价, 百货商店, 美国
Consumer_Defensive       ADM            :  -0.41%  美国粮食, 农产品, 食品加工, 食品, 油籽, 谷物, 粮食
Real_Estate              RITM           :  -0.42%  房地产投资信托, 抵押贷款, 投资管理
Basic_Materials          X.-            :  -0.42%  美国钢铁, 电气钢, 制铁
Industrials              BECN           :  -0.43%  屋顶建筑材料, 建筑材料, 北美
Real_Estate              FSV.-          :  -0.43%  房地产, 住宅物业管理
Consumer_Cyclical        LOW.-          :  -0.43%  劳氏, 家居装修零售, 仅次于HomeDepot家得宝, 装修, 零售, 家装, 建材
Basic_Materials          FCX.*.-        :  -0.43%  麦克莫兰, 矿业, 铜, 金, 镍, 金属
Technology               CSCO.*         :  -0.43%  思科, 网络设备, 路由器, 交换机, 防火墙, 无线
Real_Estate              BRX.-          :  -0.43%  专注于零售物业, 购物中心, 房地产, 沃尔玛, 房地产投资信托, 美国
Consumer_Cyclical        CHDN.19.-      :  -0.43%  赛马, 博彩, 肯塔基德比赛Kentucky Derby
Financial_Services       UNM.-          :  -0.46%  残疾保险, 人寿保险, 意外保险, 牙科和视力保险
Financial_Services       APO            :  -0.46%  阿波罗全球, 资产管理, 投资管理
Healthcare               RVTY.-         :  -0.46%  癌症传染病基因检测诊断设备, 实验室服务, 研究试剂
Technology               CGNX.--        :  -0.48%  机器视觉, 工业自动化
Consumer_Cyclical        TSLA.*.-       :  -0.49%  特斯拉, 电动汽车, modelY, xAI, FSD, 自动驾驶, 无人驾驶, 机器人, 汽车
Industrials              RRX            :  -0.49%  工业, 电动机, 发电机, 动力传动传输解决方案
Consumer_Cyclical        RCL            :  -0.49%  皇家加勒比, 邮轮, 游轮, 利率敏感
Healthcare               COR.-          :  -0.49%  药品采购, 药品供应链, 药品分销, 医疗保健, 品牌药, 仿制药
Technology               BR.-           :  -0.49%  为金融行业提供通讯和技术解决方案
Industrials              GWW.-          :  -0.50%  工业品分销商, 各类工具, 维护修理
Consumer_Cyclical        GM.*           :  -0.50%  通用汽车, 汽车制造, 汽车, 上汽, 五菱, 雪佛兰, 凯迪拉克, 别克, 美国
Healthcare               VEEV.-         :  -0.50%  企业软件, 云计算, 赋能生命科学行业, 赋能制药行业
Consumer_Cyclical        BIRK.20.-      :  -0.51%  勃肯, 鞋, 凉鞋, 被LVMH旗下基金收购, 250年历史品牌, 德国
Consumer_Cyclical        ABNB.*         :  -0.51%  短租长租平台, 在线租房
Real_Estate              CIGI.-         :  -0.52%  房地产, 商业地产服务, 租赁, 估价
Healthcare               MASI           :  -0.52%  医疗技术, 脉搏血氧仪
Consumer_Cyclical        YUM.-          :  -0.53%  百胜餐饮集团, 肯德基, 必胜客, 餐饮, 食品
Industrials              ALK            :  -0.53%  阿拉斯加, 航空, 美国
Healthcare               WAY.18         :  -0.53%  云计算, 软件, 医疗保健, 支付, AI, 医疗报销, IT
Communication_Services   LBTYK.18       :  -0.53%  自由全球, 有线电视宽带, 电信
Consumer_Cyclical        MELI.20        :  -0.53%  南美, 阿根廷, 电子商务, 电商平台
Consumer_Cyclical        REYN.-         :  -0.54%  家居用品, 烹饪, 垃圾处理和储存, 餐具
Real_Estate              KRC.-          :  -0.54%  房地产, 投资信托, 租赁, 物业
Financial_Services       JHG            :  -0.54%  资产管理, 英国
Energy                   VIST.-         :  -0.54%  拉丁美洲, 石油, 天然气, 页岩油
Healthcare               BIIB.-         :  -0.55%  渤健, 神经退行性疾病, 多发性硬化症
Consumer_Defensive       USFD           :  -0.56%  第二大, 食品分销商, 食品, 农产品, 冷冻产品, 美国
Consumer_Defensive       PFGC.-         :  -0.56%  食品服务分销商, 肉, 冷冻, 食品, 零食
Industrials              HEI.--         :  -0.57%  飞机零部件, 航空航天, 电子技术, 电子设备, 伯克希尔哈撒韦, 巴菲特
Technology               TSM.*          :  -0.57%  台积电, 晶圆代工, 芯片制造, AI, 封装测试, COWOS
Utilities                NGG.-          :  -0.58%  英国国家电网, 电力, 天然气
Consumer_Cyclical        CZR            :  -0.58%  凯撒娱乐, 拉斯维加斯, 赌场娱乐
Consumer_Cyclical        DHI            :  -0.58%  德尔惠, 房地产, 第一大, 住宅建筑, 美国
Healthcare               CHE.-          :  -0.59%  临终关怀服务提供商, 管道和排水服务, 临终关怀, 护理
Consumer_Defensive       HRL.-          :  -0.60%  荷美尔, 肉类, 食品, 美国
Consumer_Cyclical        W.20           :  -0.61%  家具, 家居装饰, 电子商务, 家居用品, 在线零售
Technology               GDDY.-         :  -0.61%  互联网域名注册, 网络托管, 网站开发, 网站, 软件开发, 网站托管
Consumer_Cyclical        MUSA.-         :  -0.61%  加油站, 加油站网络经营, 汽油零售, 便利店, 美国
Financial_Services       MCO.-          :  -0.62%  穆迪, 信用评级
Industrials              RHI            :  -0.63%  罗伯特哈夫国际, 人力资源服务, 人力资源
Utilities                DUK.--         :  -0.64%  杜克, 能源, 电力, 天然气, 美国
Technology               G.-            :  -0.65%  简伯特, 业务流程外包服务, 运营服务
Communication_Services   AMX            :  -0.65%  墨西哥, 电信, 电信运营商
Healthcare               ZTS.*.--       :  -0.66%  宠物, 家畜, 药品, 疫苗, 宠物药品, 宠物医疗, 家畜药品
Communication_Services   DASH           :  -0.66%  食品配送物流, 外卖平台
Healthcare               ALC.-          :  -0.67%  瑞士, 眼药水, 白内障屈光手术设备, 隐形眼镜
Technology               GLOB.-         :  -0.67%  阿根廷, 信息技术, 软件开发, 媒体营销, 创意广告
Healthcare               HALO.18.-      :  -0.67%  酶基平台, 小分子药物递送, 肿瘤酶疗法
Healthcare               EW             :  -0.68%  爱德华兹, 生命科学, 心血管治疗
Consumer_Cyclical        MAT            :  -0.68%  美泰, 玩具, 芭比娃娃
Industrials              PH             :  -0.68%  运动控制, 流体控制, 空调制冷, AI
Industrials              UPS.*          :  -0.69%  物流, 联合包裹, 快递
Technology               AKAM.20        :  -0.69%  内容分发网络, CDN, 阿克迈
Consumer_Cyclical        GPI.-          :  -0.70%  汽车零售, 汽车维修, 汽车保险, 美国
Financial_Services       AIZ.-          :  -0.70%  保险
Consumer_Defensive       BJ.-           :  -0.71%  会员制, 零售, 批发, 超市
Industrials              GFL            :  -0.71%  环境服务, 废物处理, 加拿大
Healthcare               BSX.*.-        :  -0.72%  医疗设备制造, 微创介入器械
Consumer_Defensive       COKE.20.-      :  -0.73%  瓶装商, 瓶, 可口可乐
Technology               CHKP           :  -0.73%  以色列, 防火墙, VPN, 入侵防御
Industrials              WCN            :  -0.74%  北美, 废物处理, 环境服务
Consumer_Defensive       BF-B.-         :  -0.74%  杰克丹尼
Financial_Services       NMR.-          :  -0.74%  野村控股株式会社, 金融服务, 野村证券, 投资银行
Technology               INFY.*.--      :  -0.74%  印孚瑟斯, 印度, 信息技术, 外包服务
Healthcare               JNJ.*.-        :  -0.74%  强生, 医疗保健, 制药, 医疗器械, Band-Aid邦迪, 创可贴
Communication_Services   DIS.*          :  -0.74%  华特迪士尼, 主题乐园, 流媒体, 动画电影
Energy                   ENB.*.-        :  -0.74%  能源基础设施, 原油液体管道, 天然气管道网络
Technology               LDOS           :  -0.75%  国防, 情报, 政府承包商, 民用医疗, 技术服务
Communication_Services   RCI.-          :  -0.75%  加拿大, 无线通信, 有线电视
Basic_Materials          EXP            :  -0.75%  建筑材料, 美国
Industrials              AOS            :  -0.76%  AO, 史密斯, 热水器
Industrials              TREX.-         :  -0.76%  木材, 地板, 栏杆, 高端装修, 装修, 住宅建筑
Consumer_Cyclical        ALSN           :  -0.77%  中重型商用军用车辆, 军用车辆, 自动变速器, 混合动力
Industrials              CSL.-          :  -0.79%  绝缘建筑材料, 高性能电缆, 建筑材料
Communication_Services   GOOGL.*.-      :  -0.79%  谷歌, 搜索引擎, 地图, Android, Chrome, Youtube, Gemini, AI, 量子计算
Financial_Services       OZK.-          :  -0.79%  阿肯色州, 区域性银行, 抵押贷款, 美国
Industrials              IESC           :  -0.80%  基础设施, 工业, 电气, 机电, 工程, 机械, 美国, 通信
Communication_Services   EA.--          :  -0.81%  电子艺界, 视频游戏, FIFA, 模拟人生, 战地, 极品飞车
Consumer_Cyclical        LI             :  -0.81%  理想, 电动汽车, 中国
Communication_Services   TKC.-          :  -0.81%  土耳其, 电信
Technology               FFIV.--        :  -0.83%  人工智能安防, 网络技术, 应用交付, 云安全, 控制器ADC, ADN, IDC
Consumer_Cyclical        ABG            :  -0.85%  汽车零售, 零部件维修, 汽车相关金融服务, 汽车贷款, 汽车
Communication_Services   VIV            :  -0.85%  巴西电信, 电信
Healthcare               DHR.*          :  -0.86%  丹纳赫, 医疗耗材, 诊断设备, 环境测量
Technology               CYBR.-         :  -0.86%  网络安全, 企业软件, 以色列
Consumer_Cyclical        PLNT.-         :  -0.86%  健身俱乐部, 会员制, 连锁, 低价
Consumer_Defensive       FLO.-          :  -0.86%  面包, 烘焙食品, 食品
Industrials              FBIN           :  -0.87%  橱柜, 卫浴, 洁具, 安全智能家居, 门窗
Consumer_Defensive       BG             :  -0.88%  邦吉, 粮食, 农业, 油籽, 谷物, 食用油, Viterra
Technology               SMTC           :  -0.88%  森美, 传统半导体, LoRa, 物联网, 模拟芯片, EMS, 加拿大
Consumer_Cyclical        AMZN.*.-       :  -0.89%  亚马逊, 电子商务, 云服务, 流媒体, Kuiper, 卫星互联网
Consumer_Defensive       ACI.--         :  -0.91%  艾伯森, 食品杂货, 药品, 零售连锁, 仅次于克罗格Kroger
Healthcare               NBIX.--        :  -0.91%  抑郁症, 迟发性运动障碍TD, 亨廷顿舞蹈症HD
Financial_Services       BAC.*          :  -0.92%  美国银行, 银行, 贷款, 美国
Healthcare               COO.-          :  -0.92%  医疗保健, 隐形眼镜, 眼镜, 辅助生殖医疗设备, 医疗设备
Industrials              XPO            :  -0.92%  世界十大运输和物流服务供应商之一, 运输, 物流, 卡车运输, 货运
Industrials              LUV.*          :  -0.92%  西南航空, 航空, 美国
Financial_Services       LYG.20.*       :  -0.93%  劳埃德, 银行, 英国, 金融服务
Real_Estate              OHI            :  -0.93%  医疗保健设施房地产投资信托
Consumer_Defensive       INGR.-         :  -0.95%  宜瑞安, 配料, 食品饮料行业, 甜味剂
Technology               CORZ.*.-       :  -0.96%  比特币挖矿, 矿机托管, 区块链, 数据中心, ASIC, GPU
Financial_Services       LAZ            :  -0.96%  金融咨询, 资产管理, 投资银行, 并购重组
Healthcare               RNA.-          :  -0.96%  RNA靶向药物, 肌肉萎缩性侧索硬化症, 杜氏肌营养不良
Industrials              LHX.--         :  -0.97%  航空航天, 国防, 太空, 卫星, 军工, 武器, 军事, 政府服务
Industrials              UAL            :  -0.97%  联合航空, 航空, 美国, 航空公司
Communication_Services   RBLX.*         :  -0.97%  游戏平台, 元宇宙, 儿童用户
Technology               ASML.-         :  -0.98%  光刻机, 半导体, 赋能芯片制造, 芯片, 荷兰, 欧洲
Industrials              OC             :  -0.98%  建筑复合材料, 绝缘, 玻璃纤维
Consumer_Cyclical        LEVI           :  -0.99%  牛仔裤, 服装
Healthcare               TECH.--        :  -0.99%  生物技术, 重组蛋白, 基因编辑, 细胞疗法
Consumer_Cyclical        CROX.-         :  -1.00%  洞洞鞋, 鞋, HEYDUDE
Consumer_Defensive       ELF.--         :  -1.00%  化妆品, 性价比, 美国
Consumer_Cyclical        SEE.-          :  -1.00%  食品包装, 医药包装, 运输保护, 包装
Healthcare               SNY            :  -1.01%  赛诺菲, 医疗, 制药, 疫苗, 扑热息痛, 胰岛素, 炎症性肠病
Real_Estate              KIM.*.-        :  -1.01%  北美房地产投资信托, 社区购物中心, 零售物业
Consumer_Defensive       MO.*.-         :  -1.01%  奥驰亚, 烟草, 香烟, 万宝路Marlboro, 电子烟, NJOY
Healthcare               PRCT.-         :  -1.02%  泌尿外科, 手术机器人, 前列腺BPH, Aquablation, 医疗设备
Technology               CLBT.--        :  -1.02%  数字情报, 数字取证, 手机电脑数据提取分析, UFED, 以色列
Healthcare               RMD.-          :  -1.03%  瑞思迈, 医疗器械, 呼吸机, 睡眠呼吸障碍, 慢性阻塞性肺病
Industrials              TFII.19.--     :  -1.03%  北美, 物流运输, 包裹, 快递, 卡车货运, 仓储
Industrials              LTM.-          :  -1.04%  拉塔姆航空, 拉丁美洲, 航空, 航空公司, 拉美航空
Technology               HUBS.-         :  -1.06%  云计算, 客户关系管理
Technology               JNPR           :  -1.07%  瞻博, 网络通讯设备, 路由器, 交换机
Industrials              AVAV.--        :  -1.08%  航空航天, 国防, 军事, 无人机, 军工, UAVs
Consumer_Cyclical        LEN            :  -1.08%  莱纳建筑, 公共房屋建筑商, 第二大, 住宅建筑, 仅次于霍顿公司, 房地产, 抵押贷款
Basic_Materials          SHW.-          :  -1.08%  宣伟, 涂料, 油漆, 化学品
Consumer_Defensive       CHD.-          :  -1.09%  家居用品, 个人护理产品, Waterpik洁碧冲牙器, 小苏打
Communication_Services   WMG            :  -1.10%  华纳音乐集团, 音乐出版, 唱片, 艺术家管理
Consumer_Defensive       PM.*           :  -1.10%  菲利普莫里斯, 烟草, ZYN尼古丁袋, 万宝路, 林奇爱股
Technology               MSTR.*         :  -1.11%  比特币, 加密货币
Technology               UI.--          :  -1.12%  厄比奎蒂, 网络设备, UniFi平台, 无线电通信, 视频监控
Industrials              TDG.--         :  -1.12%  航空航天, 飞机零部件, 飞机, 军工, 政府承包商
Real_Estate              PECO.-         :  -1.12%  从事购物中心持有和运营, 房地产投资信托, 房地产
Communication_Services   NYT.-          :  -1.13%  纽约时报, 新闻, 数字媒体, 媒体
Industrials              EXPO.--        :  -1.13%  工程和科学咨询, 事故预防, 技术评估
Financial_Services       IX             :  -1.13%  欧力士, 金融服务, 融资租赁
Industrials              EFX.--         :  -1.13%  消费者信用报告, 信用评分, 信用信息分析决策, 信息分析, 信用
Consumer_Defensive       CPB.-          :  -1.14%  金宝汤, 食品, 饮料, 汤, 美国, 零食
Basic_Materials          SMG.-          :  -1.15%  园艺, 草坪护理, 销售Roundup, 大麻, 杀虫剂, 除草剂
Financial_Services       NU.20.*.-      :  -1.17%  银行, 数字银行, 拉美, 线上, 信贷, 金融, 巴西
Communication_Services   TU             :  -1.17%  泰勒斯, 电信运营商, 加拿大, 电信
Healthcare               RGEN.20        :  -1.18%  生物技术, 重组蛋白质, 医疗健康
Industrials              ADT.*          :  -1.19%  防盗, 火灾报警, 报警, 监控, 安全
Financial_Services       FG.20          :  -1.19%  金融, 年金, 寿险, 抵押贷款, 美国
Communication_Services   SPOT.-         :  -1.19%  音乐, 流媒体
Consumer_Cyclical        BC             :  -1.20%  船只制造商, 钓鱼船, 游艇, lifeFitness健身器械, 利率敏感
Consumer_Cyclical        MCD.-          :  -1.21%  麦当劳, 快餐, 连锁, 汉堡, 餐饮, 食品
Consumer_Cyclical        CART           :  -1.22%  Instacart, 在线, 代购, 配送, 快递, 外卖, 物流
Industrials              RSG            :  -1.22%  第二大, 废物处理, 美国
Industrials              URI            :  -1.24%  联合租赁, 工业设备, 挖掘搬运, 高空作业
Utilities                ELP            :  -1.24%  巴西, 电力
Utilities                SBS            :  -1.24%  巴西, 水务, 饮用水, 污水处理, 第一大, 水
Real_Estate              IRM            :  -1.26%  铁山, 记录和信息管理, 艺术品存储, 数据保护与恢复
Technology               INTU           :  -1.27%  财捷, 财务软件, 会计软件, 软件开发, 报税软件, Turbo Tax
Consumer_Cyclical        TOL.18         :  -1.28%  房地产, 高端住宅
Consumer_Cyclical        LAD.--         :  -1.28%  利西亚车行, 汽车零售, 汽车贷款, 电动汽车, 美国
Communication_Services   FWONA.-        :  -1.29%  一级方程式赛车, 卫星广播, 流媒体
Consumer_Cyclical        MHK            :  -1.30%  莫霍克工业, 地毯, 地板, 瓷砖
Consumer_Defensive       LW             :  -1.32%  冷冻马铃薯供应商, 土豆, 食品, 供应链, 冷链运输
Industrials              STRL.21        :  -1.33%  斯特林, 基础设施, 数据中心, 电商配送中心, 运输, 建筑
Industrials              CLH.19.--      :  -1.34%  第三方危险废物处理, 废物处理, 废物
Financial_Services       THG.-          :  -1.35%  汉诺威, 保险, 美国
Consumer_Defensive       MKC.-          :  -1.35%  味好美, 香料, 调味品
Consumer_Defensive       PRMB.20.-      :  -1.36%  饮料, 非酒精饮料, 北美, 健康补水, 可重复使用包装和瓶子
Healthcare               SMMT.18.-      :  -1.36%  双特异性Ivonescimab, 靶向PD-1和VEGF, 非小细胞肺癌, HARMONi, 肺癌, 医疗健康
Healthcare               MOH            :  -1.37%  医疗保险, 长期护理, 面向低收入和弱势群体
Technology               OS             :  -1.37%  企业软件, 绩效管理软件, 财务软件, 软件开发, 人工智能, CPM
Technology               NET.*.-        :  -1.37%  Cloudflare, 网络服务供应商, 域名, DNS, AI
Consumer_Cyclical        NVR            :  -1.39%  房地产, 新房建造销售, 美国
Industrials              MAS            :  -1.39%  家居装饰, 建筑产品, 管道橱柜
Consumer_Cyclical        ROL.-          :  -1.42%  害虫防治, 害虫控制, 白蚁防治, 美国
Technology               CLVT.19.*.-    :  -1.43%  信息服务提供商, 专利, 商标, 版权, 学术研究, 药物研发, 知识产权, 品牌保护
Consumer_Cyclical        CASY.-         :  -1.43%  便利商店, 加油站, 披萨, 美国
Technology               DSGX.-         :  -1.43%  加拿大, 云计算, 物流供应链, Saas
Financial_Services       BCH            :  -1.46%  智利银行
Industrials              ARMK.-         :  -1.46%  食品, 设施, 制服, 设施管理, 管理黄石公园
Consumer_Defensive       COST.-         :  -1.48%  会员制, 仓储式, 批发, 零售, 低价零售, 超市, 美国
Real_Estate              LINE           :  -1.49%  冷链仓储, 温控仓库, 房地产投资信托, 食物饮料供应链
Consumer_Cyclical        GLBE.19        :  -1.50%  以色列, 跨境电商解决方案, 电商
Industrials              BLD.-          :  -1.50%  建筑, 住宅, 隔热材料, 绝缘安装, 住宅建筑
Healthcare               ACLX           :  -1.50%  生物技术, 免疫疗法, CAR-T, 白血病, 淋巴瘤, 细胞疗法
Healthcare               DVA.-          :  -1.51%  肾脏护理, 透析服务, 透析, 护理, 医疗保健
